"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 28 14:19:01 CST 2021","Thu Jan 28 14:19:04 CST 2021","3151","TestCase","Normal","Test_one_order","","","test_add_hongtang",""
"passed","Thu Jan 28 14:18:35 CST 2021","Thu Jan 28 14:18:38 CST 2021","3363","TestCase","Normal","Test_BABI","","","test_small_program",""
"passed","Thu Jan 28 14:18:42 CST 2021","Thu Jan 28 14:18:44 CST 2021","2339","TestCase","Normal","Test_BABI","","","test_clickBB_small_program",""
"passed","Thu Jan 28 14:19:04 CST 2021","Thu Jan 28 14:19:08 CST 2021","4118","TestCase","Normal","Test_one_order","","","test_settle",""
"passed","Thu Jan 28 14:18:44 CST 2021","Thu Jan 28 14:18:48 CST 2021","3525","TestCase","Normal","Test_BABI","","","test_Version_selection",""
"passed","Thu Jan 28 14:19:16 CST 2021","Thu Jan 28 14:19:18 CST 2021","1894","TestCase","Normal","Test_one_order","","","test_back",""
"passed","Thu Jan 28 14:18:48 CST 2021","Thu Jan 28 14:18:50 CST 2021","2180","TestCase","Normal","Test_BABI","","","test_Experience_serving",""
"passed","Thu Jan 28 14:19:18 CST 2021","Thu Jan 28 14:19:20 CST 2021","1723","TestCase","Normal","Test_one_order","","","test_test_close",""
"passed","Thu Jan 28 14:19:08 CST 2021","Thu Jan 28 14:19:16 CST 2021","7937","TestCase","Normal","Test_one_order","","","test_pay_sure",""
"passed","Thu Jan 28 14:18:38 CST 2021","Thu Jan 28 14:18:42 CST 2021","3303","TestCase","Normal","Test_BABI","","","test_my_small_program",""
"passed","Thu Jan 28 14:18:50 CST 2021","Thu Jan 28 14:18:57 CST 2021","7599","TestCase","Normal","Test_one_order","","","test_Buffet_order",""
"passed","Thu Jan 28 14:18:57 CST 2021","Thu Jan 28 14:19:01 CST 2021","3455","TestCase","Normal","Test_one_order","","","test_Csure1",""
"passed","Thu Jan 28 14:18:29 CST 2021","Thu Jan 28 14:18:35 CST 2021","6082","TestCase","Normal","Test_BABI","","","test_Cfind_button",""
